Datetime,Sea pressure - decibar,Sea temperature adjusted,QC
2024-01-07 19:18:33,75.4,23.961,1
2024-01-07 19:18:33,95.5,21.686,1
2024-01-07 19:18:33,105.2,21.289,1
2024-01-07 19:18:33,135.3,19.552,1
2024-01-07 19:18:33,145.5,18.808,1
2024-01-07 19:18:33,174.9,17.024,1
2024-01-07 19:18:33,195.5,16.228,1
2024-01-07 19:18:33,238.3,15.072,1
2024-01-07 19:18:33,287.8,15.066,1
2024-01-07 19:18:33,337.6,13.848,1
2024-01-07 19:18:33,388.3,13.26,1
2024-01-07 19:18:33,462.7,12.718,1
2024-01-07 19:18:33,512.8,12.513,1
2024-01-07 19:18:33,538.1,12.328,1
2024-01-07 19:18:33,612.8,11.877,1
2024-01-07 19:18:33,662.3,11.413,1
2024-01-07 19:18:33,712.9,11.064,1
2024-01-07 19:18:33,762.6,10.502,1
2024-01-07 19:18:33,812.7,10.191,1
2024-01-07 19:18:33,837.6,9.929,1
2024-01-07 19:18:33,888.1,9.463,1
2024-01-07 19:18:33,937.6,8.9,1
2024-01-07 19:18:33,987.5,8.503,1
2024-01-07 19:18:33,1063.4,8.041,1
2024-01-07 19:18:33,1088.2,7.863,1
2024-01-07 19:18:33,1163.2,7.25,1
2024-01-07 19:18:33,1213.3,6.977,1
2024-01-07 19:18:33,1287.5,6.624,1
2024-01-07 19:18:33,1337.9,6.459,1
2024-01-07 19:18:33,1363.1,6.323,1
2024-01-07 19:18:33,1437.9,5.87,1
2024-01-07 19:18:33,1462.6,5.683,1
2024-01-07 19:18:33,1513.2,5.401,1
2024-01-07 19:18:33,1587.9,4.844,1
2024-01-07 19:18:33,1637.9,4.556,1
2024-01-07 19:18:33,1687.9,4.349,1
2024-01-07 19:18:33,1738.1,4.095,1
2024-01-07 19:18:33,1787.9,3.875,1
2024-01-07 19:18:33,1813.2,3.78,1
2024-01-07 19:18:33,1862.9,3.559,1
2024-01-07 19:18:33,1937.6,3.312,1
2024-01-07 19:18:33,1988.4,3.131,1
2024-01-17 19:38:32,0.2,27.372,1
2024-01-17 19:38:32,1.2,27.37,1
2024-01-17 19:38:32,3.2,27.37,1
2024-01-17 19:38:32,6.5,27.369,1
2024-01-17 19:38:32,8.8,27.363,1
2024-01-17 19:38:32,15.6,27.338,1
2024-01-17 19:38:32,35.5,27.316,1
2024-01-17 19:38:32,55.2,27.322,1
2024-01-17 19:38:32,65.8,26.859,1
